gene	log2fc	p
Gm56541	-0.826257827562573	1
Dcaf1	-0.826257827562573	1
Rmi2	-0.826257827562573	1
Lbp	-0.826257827562573	1
Grhl1	-0.826257827562573	1
Casz1	-0.826257827562573	1
Cd1d1	-0.826257827562573	1
Gm9887	-0.826257827562573	1
Gm20406	-0.826257827562573	1
Gm36043	-0.826257827562573	1
1700064N11Rik	-0.826257827562573	1
Gm56494	-0.826257827562573	1
Cep131	-0.826257827562573	1
Gm20324	-0.826257827562573	1
Gm56697	-0.826257827562573	1
Septin5	-0.826257827562573	1
Pgpep1l	-0.826257827562573	1
Hexim2	-0.826257827562573	1
Pde8b	-0.826257827562573	1
Ntn4	-0.826257827562573	1
AA986860	-0.826257827562573	1
Txk	-0.826257827562573	1
Gm48061	-0.826257827562573	1
Tpd52l1	-0.826257827562573	1
Ttc23	-0.826257827562573	1
Angpt2	-0.826257827562573	1
Fhit	-0.826257827562573	1
A3galt2	-0.826257827562573	1
Actr3b	-0.826257827562573	1
Gm56596	-0.826257827562573	1
Micu3	-0.826257827562573	1
Olfml2b	-0.826257827562573	1
Gm7694	-0.826257827562573	1
ENSMUSG00000079800	-0.826257827562573	1
Kif5c	-0.826257827562573	1
Yjefn3	-0.826257827562573	1
Gm10382	-0.826257827562573	1
Gm35867	-0.826257827562573	1
